Problem,Av Fitness,Standard Deviation,Best Fitness k.,Best Fitness,Worst Fitness,Execution Time,RPD
taill2_4x4 229,251.2,3.655133376,229,245,256,17.35710793,0.069868996
taill3_4x4 262,276.1,4.763402146,262,271,285,17.82501888,0.034351145
taill4_4x4 245,264.4,7.213875519,245,255,278,17.51854048,0.040816327
taill1_5x5 295,359.8,15.24991803,295,328,378,24.23252866,0.111864407
taill2_5x5 255,317.8,10.88852607,255,298,335,23.07939672,0.168627451
taill3_5x5 321,399.3,14.51240848,321,377,416,23.6497705,0.174454829
taill1_7x7 435,607.8,18.66440462,435,572,633,38.55610049,0.314942529
taill2_7x7 443,621.3,11.74776575,443,603,638,38.64312692,0.361173815
taill3_7x7 468,674.7,23.61376717,468,627,706,38.9635813,0.33974359
taill1_10x10 637,1072.2,20.61455796,637,1029,1109,73.29017224,0.615384615
taill2_10x10 588,948.6,16.8356764,588,925,979,72.72331626,0.573129252
taill3_10x10 598,983.8,24.07405242,598,933,1017,72.21184824,0.560200669
taill1_15x15 937,1687.8,33.11132737,937,1625,1724,163.9117586,0.734258271
taill2_15x15 918,1711.6,41.20970759,918,1646,1766,162.6061629,0.793028322
taill3_15x15 871,1622.7,32.79649372,871,1555,1683,162.9733184,0.785304248
taill1_20x20 1155,2392.6,20.64558064,1155,2361,2429,296.1029537,1.044155844
taill2_20x20 1241,2597.3,42.60528136,1241,2507,2663,302.5026949,1.020145044
taill3_20x20 1257,2517.9,34.74895682,1257,2439,2563,302.8027478,0.940334129
